	logFC	logCPM	PValue	FDR
FGRRES_13240	-0.8033082	3.280158	0.2071527	0.3098867
FGRRES_13241	-2.78734	0.9424603	0.001192077	0.004216434
FGRRES_13242	0.6901311	1.874703	0.3369798	0.4521813
FGRRES_13245_M	-10.0929878921094	3.63607758084554	4.80795041067618e-07	4.28412855558855e-06
FGRRES_13246	-0.6956918	2.006097	0.2673359	0.3779336
FGRRES_13247	-1.249929	4.441208	0.02563697	0.05726241
FGRRES_13250	-2.303733	2.68657	0.002060365	0.006759397
FGRRES_13251	-3.564758	1.694186	0.0007005286	0.002665946
FGRRES_13252_16931_M	-2.52970844098714	5.06409886165	2.48425905857468e-05	0.000141012884742212
FGRRES_13254_M	0.6794995	7.202126	0.2318456	0.3384745
FGRRES_13257	0.8029538	8.3166	0.1699471	0.2648909
FGRRES_13258	-0.1887232	5.401245	0.774842	0.8410202
FGRRES_13259	-0.1050536	1.02142	0.8752243	0.911769
FGRRES_13262_3_M	1.872013	1.113353	0.01953538	0.04554617
FGRRES_13265	-0.375607	0.8348206	0.6724644	0.7577093
FGRRES_13270	1.465921	2.091723	0.06864073	0.1283746
FGRRES_13272	-0.9662201	1.839256	0.1511722	0.2413462
FGRRES_13273_M	-0.6466416	6.771888	0.2524472	0.361357
FGRRES_13293	-2.586198	1.913649	0.0007781591	0.002927335
FGRRES_13294	-0.2241081	3.591258	0.7323763	0.8065429
FGRRES_13296_M	-1.821385	6.669774	0.004005771	0.01190433
FGRRES_13299	-2.079991	8.122795	0.001786624	0.005977259
FGRRES_13300	1.908798	5.066625	0.0004197964	0.001716027
FGRRES_13301	-0.5341585	3.574056	0.3753497	0.4909811
FGRRES_13302	-0.4485569	0.7939469	0.5969702	0.6938229
FGRRES_13304	-3.73256	0.9098981	0.0005534255	0.002175417
FGRRES_13305	-1.046117	1.916689	0.1659116	0.2601328
FGRRES_13309	-0.2993335	2.484584	0.6764191	0.760644
FGRRES_13310	-0.5001003	4.859653	0.3443421	0.4601261
FGRRES_13313_M	-0.3148131	6.026808	0.5466366	0.6500819
FGRRES_13314	-7.91380872847546	7.5597237152838	5.5719147947963e-13	1.1998410965858e-11
FGRRES_13317	-2.391177	1.1512	0.06324387	0.1202498
FGRRES_13318_M	-0.2998323	3.608177	0.5981864	0.6949983
FGRRES_13319	0.06884826	5.485034	0.8954798	0.9265556
FGRRES_13321	-0.07079429	3.942977	0.9136685	0.9399985
FGRRES_13322	1.871477	3.532492	0.003058837	0.009487727
FGRRES_13324	-2.74046279109218	7.00731825044789	6.47914816639357e-06	4.30080703668926e-05
FGRRES_13327_M	1.852905	0.8519879	0.02169995	0.04978008
FGRRES_13330	-2.80759427571223	4.89221785190402	7.58191244272247e-07	6.40860558729493e-06
FGRRES_13332	-3.625409	0.2119391	0.003068245	0.009511471
FGRRES_13341_M	0.2510257	8.592654	0.6723945	0.7577093
FGRRES_13343_M	0.1252149	7.525611	0.83875	0.8872275
FGRRES_13344_M	-0.8258196	2.054578	0.2378524	0.3444941
FGRRES_13345_M	-3.32961537444682	6.11361663409629	1.67192399705857e-07	1.64407367966054e-06
FGRRES_13347	0.4774591	7.136178	0.4430431	0.5570374
FGRRES_13350	-0.5746698	6.313939	0.299944	0.4123267
FGRRES_13356	0.01663985	2.361196	0.9798264	0.9813244
FGRRES_13357	-1.231879	4.967116	0.02783194	0.06117053
FGRRES_13359	-4.286833	0.8609985	0.005780953	0.01623304
FGRRES_13361	-0.2918474	1.303819	0.1189473	0.2001139
FGRRES_13362	-0.7062707	0.847682	0.4341586	0.5492505
FGRRES_13367	-3.3146812411372	3.35868905676057	2.49864222142229e-06	1.83312016822607e-05
FGRRES_13368_M	-1.035021	2.409763	0.1149192	0.1946953
FGRRES_13369	-0.2889146	4.158585	0.6005934	0.6970635
FGRRES_13370	1.003378	2.138414	0.1280312	0.2122705
FGRRES_13396	-3.64691008138226	9.0415711892966	3.52180426288143e-08	3.97526290846208e-07
