	logFC	logCPM	PValue	FDR
FGRRES_04031	0.6267514	6.084464	0.235036	0.3417532
FGRRES_04036	-0.4254125	2.090038	0.4870031	0.5972253
FGRRES_04037_M	1.133006	4.8148	0.03135733	0.06744374
FGRRES_04038	0.5950695	4.545624	0.2740878	0.3854664
FGRRES_04042	-0.05165321	5.412828	0.9236356	0.9466632
FGRRES_04043	-1.010303	7.421068	0.08243052	0.1487312
FGRRES_04044_M	-0.9883454	6.337723	0.0703921	0.1311754
FGRRES_04045	0.271029	4.617931	0.6010758	0.6972505
FGRRES_04050	0.8156066	3.399503	0.2016808	0.3034579
FGRRES_04051_M	0.8841932	2.511039	0.1825854	0.2804415
FGRRES_04052	0.208417	6.968067	0.7142834	0.7919213
FGRRES_04053_M	-0.4880284	6.963858	0.3913354	0.5079731
FGRRES_04055	-1.268594	3.2645	0.04630121	0.09340279
FGRRES_04057_M	-0.3088725	5.060428	0.5769022	0.6770973
FGRRES_04064	-0.8598201	4.238427	0.2012141	0.3030077
FGRRES_04065	-0.5647686	3.326611	0.38882	0.5053729
FGRRES_04067	0.9609343	4.788222	0.07195761	0.1334055
FGRRES_04070	-0.9223755	6.986816	0.1121516	0.1909005
FGRRES_04071_M	0.3452319	7.838816	0.60882	0.7039015
FGRRES_04081	-0.932133	4.900288	0.08375137	0.1505638
FGRRES_04084	-0.8574516	6.335293	0.1148882	0.1946731
FGRRES_04090	0.3336388	5.743186	0.5201171	0.6266464
FGRRES_04091_M	0.1630131	7.291762	0.7850004	0.8487575
FGRRES_04095	0.2750906	6.006526	0.6007868	0.6971388
FGRRES_04099_M	-1.474944	1.266197	0.03554882	0.07508009
FGRRES_04100	-1.228143	3.613083	0.04625964	0.09334621
FGRRES_04103	0.2378927	4.430402	0.6657777	0.7523621
FGRRES_04105	-0.02556583	4.712444	0.950241	0.965001
FGRRES_04106	-0.5587495	6.344949	0.2942214	0.4067051
FGRRES_04107	1.164239	8.12807	0.04903199	0.09770471
FGRRES_04110	-0.4068172	5.500891	0.4274883	0.5434614
FGRRES_04111	0.856745	6.457967	0.114607	0.1942877
FGRRES_04113	-0.8264259	8.170787	0.1801358	0.2776994
FGRRES_04114	1.367218	2.093017	0.05303245	0.1041551
FGRRES_04117	-1.091573	7.790829	0.08650796	0.1544958
FGRRES_04124_M	0.6965376	5.465347	0.1982475	0.2992878
FGRRES_04125	0.649109	5.754444	0.214804	0.3186098
FGRRES_04127	-0.4841857	5.212191	0.3861079	0.5026907
FGRRES_04128	0.4575959	3.046914	0.4915295	0.6010105
FGRRES_04129	0.7675712	4.806925	0.1484943	0.237911
FGRRES_04130	1.034526	6.314424	0.09529236	0.1670788
FGRRES_04131	0.7729127	4.375139	0.148758	0.238263
FGRRES_04135	-1.392537	3.501211	0.03657447	0.07686729
FGRRES_04140	1.188427	2.734347	0.06322333	0.1202318
FGRRES_04141	0.7810466	3.570134	0.1926127	0.2930641
FGRRES_04142	-0.0824325	1.390146	0.8259364	0.8777551
FGRRES_04143	-0.4269751	5.127649	0.4390603	0.5536976
FGRRES_04144	-0.3629178	2.719636	0.5457814	0.6494918
FGRRES_04147	-0.845658	4.940516	0.1308607	0.2159719
FGRRES_04148_M	0.3612278	4.141874	0.5230494	0.629062
FGRRES_04150	0.8878728	4.55785	0.09658352	0.1689044
FGRRES_04155	0.2720606	6.51075	0.6569289	0.7446109
FGRRES_04159	1.269849	2.944421	0.05106172	0.1008687
FGRRES_04160	0.9968937	3.001692	0.1113838	0.1898018
FGRRES_04164	0.9101144	5.875958	0.090603	0.1602011
FGRRES_04165_M	0.5247239	5.24799	0.3051799	0.4183552
FGRRES_04166	0.1273006	3.661233	0.8400556	0.88767
FGRRES_04167	1.310359	3.123359	0.04327026	0.08846989
FGRRES_04168	-0.001357167	5.575249	0.9781112	0.9813244
FGRRES_04170_M	1.071422	2.51595	0.1029013	0.1782866
FGRRES_04174	-0.8100597	3.148356	0.2024319	0.3043349
FGRRES_04175	-0.0792456	3.625719	0.8981906	0.9286523
FGRRES_04176	0.8866458	9.477486	0.1765288	0.2729933
FGRRES_04179	0.8307374	4.562157	0.1338804	0.2196861
FGRRES_04180	-0.2529114	0.3194702	0.8906855	0.9227386
FGRRES_04181	1.242687	10.37035	0.06799738	0.1273469
FGRRES_04184	0.1354468	6.686353	0.8150146	0.8700062
FGRRES_04185	0.1237915	2.734147	0.8575705	0.8998562
FGRRES_04187	0.4931373	4.063451	0.3673668	0.4833352
FGRRES_04188	0.3331312	0.5859307	0.6721934	0.7577093
FGRRES_04190	1.172668	3.748997	0.04353689	0.08895066
FGRRES_04194	1.245122	8.122632	0.04916379	0.09790359
FGRRES_04197	1.273674	4.465696	0.05282273	0.1038382
FGRRES_04198	-0.6562308	1.843225	0.3677434	0.4835375
FGRRES_04199	-0.5752715	5.548198	0.2836319	0.3956542
FGRRES_04200	0.3325913	2.176232	0.6622085	0.7494211
FGRRES_04202	1.14507	7.250643	0.04582495	0.0925797
FGRRES_04203_M	-0.9118204	6.405834	0.1054038	0.1818194
FGRRES_04207	-2.139473	6.976043	0.02738447	0.06029694
FGRRES_04208	-1.053335	3.518264	0.1214154	0.2034463
FGRRES_04209	0.1277503	1.602256	0.871761	0.9096454
FGRRES_04210	0.297565	3.538995	0.6081465	0.7031978
FGRRES_04211	-0.09510341	3.977878	0.8519815	0.8963315
FGRRES_04215	-0.5591496	1.167357	0.1785115	0.2755882
FGRRES_04216	1.386703	2.505358	0.07198707	0.1334374
FGRRES_04217	-0.08196589	5.86953	0.8848866	0.9188614
FGRRES_04219	0.9373022	3.981267	0.09553187	0.167416
FGRRES_04221	0.4617378	4.466138	0.4511252	0.5645828
FGRRES_04222	0.150341	5.957771	0.7710642	0.8382611
FGRRES_04225	-0.2810942	2.795098	0.6450323	0.7347329
FGRRES_04226	-0.3447676	3.940166	0.5941979	0.6917119
FGRRES_04232	-1.343512	8.566249	0.02530255	0.05665538
FGRRES_04235_M	0.886963	5.63066	0.130369	0.2153569
FGRRES_04236_M	-0.1870493	1.336339	0.1238877	0.2063312
FGRRES_04237	-0.8795542	6.198124	0.1014139	0.1761223
FGRRES_04238	0.6230435	3.438016	0.2930748	0.405655
FGRRES_04240	-0.5757146	6.388166	0.3471565	0.462918
FGRRES_04242	-0.2670766	6.494615	0.6356551	0.7257274
FGRRES_04243	0.8060604	6.548538	0.1534192	0.244072
FGRRES_04252	0.0631643	3.33426	0.908484	0.9365289
