	logFC	logCPM	PValue	FDR
FGRRES_11424	3.430683	0.6554501	0.00119811	0.004232775
FGRRES_11426	0.515372	1.142522	0.367434	0.483365
FGRRES_11428	6.01015522545077	5.16816979492637	3.48630289784066e-18	1.17141936068931e-16
FGRRES_11431_M	2.715988	0.5571984	0.004191618	0.01240906
FGRRES_11436	8.52835825810898	1.80505498619339	3.83639577435489e-07	3.49885742345157e-06
FGRRES_11440	-0.02169141	1.739375	0.9796854	0.9813244
FGRRES_11442	2.263784	3.970943	0.003203904	0.009867188
FGRRES_11443	2.052794	4.912745	0.004763687	0.01381253
FGRRES_11445	-0.2575114	4.244736	0.6517569	0.7402949
FGRRES_11446	-0.8961262	2.832366	0.1291067	0.2136619
FGRRES_11448	2.899511	1.87969	0.0001085368	0.0005251671
FGRRES_11449	8.34897424616165	1.77725042446157	1.22684576165457e-08	1.50281682293871e-07
FGRRES_11454	3.283636	1.191006	0.0005627265	0.002202406
FGRRES_11455	5.08195301362889	4.45417350144025	2.70429738530809e-14	6.64021256170784e-13
FGRRES_11457	3.59517482305315	3.00756908551067	2.49865918486609e-05	0.000141756132427348
FGRRES_11462_M	-1.41203	2.883103	0.03154744	0.06781231
FGRRES_11467	0.3649489	3.91293	0.51729	0.6246967
FGRRES_11468	0.6788517	4.346682	0.2473895	0.3552888
FGRRES_11469	0.2449501	5.65434	0.6367155	0.7267087
FGRRES_11472	-1.546675	9.708158	0.0195119	0.04550121
