GC content	Induction>1.5	Variants	M.H3K27me3	M.H3K4me2	M.H3K4me3
48.344	NA	29.5	15083	29235	36696
49.868	NA	22.6667	4967	36307	43863
48.108	1.898584071	33.3333	4851	34573	27970
49.188	NA	29.6667	5041	21145	19597
48.708	NA	44.6667	5414	32608	27895
48.252	NA	30	12204	21696	24793
49.352	2.255870303	24.6667	5929	49590	59470
48.916	3.935083105	52.5	13024	23930	38011
47.552	15.99185336	96.8333	31696	6491	9525
48.98	NA	96.6667	27375	20667	27621
47.472	NA	81.3333	38039	5372	7628
48.72	NA	105.167	21890	18371	22416
46.716	NA	99	35983	10617	12615
47.932	3.288241011	79.1667	31502	14031	10368
46.684	NA	184	40979	5504	7754
46.216	1.945736434	138	42546	5278	7502
47.832	NA	81.3333	27121	24577	30455
47.532	1.620209059	182	30650	8637	14974
46.42	2.785772029	134	43059	6150	9809
46.664	NA	177.167	37046	5592	7736
49.808	4.343634597	92	8592	31909	28340
49.94	NA	83.3333	5376	25094	53582
48.836	2.400466563	201.333	6001	18501	24563
47.94	NA	167.333	31128	6440	7690
47.652	NA	106.667	37596	7505	9769
48.024	NA	195.333	33422	13292	15712
47.244	NA	284	40452	6364	8618
48.252	NA	129.667	38296	5379	6982
46.696	3.921450151	151.667	41662	5117	7047
47.584	NA	110	37448	5682	7138
50.22	124.75	133.667	11508	4374	6664
49.176	NA	152.5	25692	8926	22703
47.76	NA	101.833	29799	5792	7840
46.936	10.86906475	205.667	37714	4855	6897
48.76	2.095430108	458.5	39158	4576	7039
47.428	3.034738617	208.5	38318	5233	7053
45.784	2.45	286.833	42753	5262	6656
46.172	NA	86	40520	5780	7049
46.804	3.872131148	121.333	38611	5045	6896
47.852	5.305502846	120	40024	4889	6674
47.952	NA	36.1667	36471	8198	8741
46.964	NA	65.6667	35500	13716	15880
46.32	NA	178.333	41166	10887	12066
47.092	NA	49.6667	37240	6086	7685
48.5	5.308765653	66.5	24650	21745	19618
48.212	NA	40.1667	30202	26286	26056
48.004	NA	45	26591	35965	48174
49.26	1.840947111	23.8333	5447	30609	41028
49.616	NA	9.33333	4777	22978	22813
49.036	NA	18.3333	6927	40370	41558
50.132	NA	5.5	5010	51167	42691
48.248	NA	12.8333	5412	28817	31448
49.372	1.973758608	10.1667	5257	62771	66803
48.676	NA	5.66667	5364	55223	49832
49.756	NA	16.5	7613	40712	30788
49.204	NA	8.5	5678	51179	49806
48.884	NA	10.6667	5191	33831	37594
48.312	1.818113632	14.1667	5376	35770	33021
49.092	4.764372148	8.16667	4976	35805	35107
47.988	NA	17.3333	5203	22198	22616
49.4	NA	11	5202	45662	38848
49.268	NA	14.6667	5178	23716	32869
48.268	NA	8.16667	8768	22375	24241
48.324	NA	15.6667	5420	20148	26321
50.004	NA	19.6667	4618	18352	24040
48.704	NA	14.5	5602	47403	36809
47.916	2.074884108	26.1667	11737	37988	33967
47.4	NA	52.3333	39943	17132	18051
47.716	2.899447061	33.8333	11807	27687	34990
50.216	5.963011889	17.3333	4949	9887	12070
49.244	NA	18.8333	5133	31828	27161
48.748	1.888562142	31.6667	5149	21365	20590
49.076	NA	29.6667	5344	48223	41683
49.572	NA	10.6667	8057	55091	57014
48.712	2.321427149	16.1667	20137	12603	15764
47.156	NA	25	39069	7720	9405
48.004	NA	23.8333	19526	17371	24804
49.252	1.651187727	22.1667	5690	47669	52876
48.764	NA	35.6667	7885	33780	49337
48.784	NA	20.8333	5266	29801	29246
48.5	NA	25.6667	5274	38234	33441
48.664	NA	20.5	5248	27799	34749
49.628	NA	8.66667	5126	33180	20454
47.664	NA	18.6667	5587	13818	32467
48.304	NA	15	5264	19043	25419
48.508	2.0015675	10.1667	8244	33276	42331
49.428	4.716995448	13.3333	4768	36600	43091
49.188	NA	11.5	5435	54167	51068
48.328	NA	7.66667	5491	42475	52300
31.084	2.913484487	89.1667	4514	29277	22713
13.052	NA	161.5	4179	2351	1544
21.16	1.732	159	4223	12258	8416
48.98	3.976055566	6.33333	5081	54151	59506
49.556	3.12588789	9.5	5068	39336	43544
48.704	6.587284627	15.5	4907	23845	34148
49.532	NA	13	4856	36505	35996
49.336	2.752325413	5.16667	5247	50303	46682
49.148	NA	5.33333	5393	56165	45529
48.716	NA	10.1667	5351	43556	36988
49.368	NA	7	4802	28185	29646
49.648	NA	7.5	4789	52527	47935
49.644	2.605185985	4.66667	5088	49485	44354
48.804	NA	4.83333	5156	21751	18865
48.068	NA	4.16667	5453	46026	41583
49.124	NA	5.66667	5071	39031	43761
48.984	2.279449788	4.5	5269	31999	38466
49.048	5.143594557	7.5	5248	32000	40678
49.34	NA	5.66667	4798	46053	39795
48.444	NA	2.83333	5302	33805	51879
49.74	2.694269663	4.66667	4804	17558	24678
50.02	1.891868331	6.16667	5020	57524	69425
48.66	NA	7.16667	5410	36168	46992
48.312	NA	5.33333	5537	25497	25385
50.084	NA	7	4758	38534	43934
47.976	NA	10.1667	5077	24888	28055
49.712	NA	7.66667	5040	19750	17819
48.524	NA	10.8333	5377	59610	60618
48.508	NA	4.83333	5055	28312	35124
48.904	2.502346038	5.16667	5318	14764	15730
49.508	NA	7.66667	4888	27984	27922
49.292	NA	7.83333	4772	32865	34798
49.6	NA	9.66667	5009	40584	60110
50.192	2.314155251	15.5	4174	6293	8551
49.096	NA	9	5178	46554	48314
49.244	NA	10	5108	24584	25747
47.824	NA	16.6667	4848	32876	35169
48.84	NA	11.8333	5112	27525	34967
48.84	NA	11.5	5620	39486	48743
48.78	NA	11.1667	5143	20500	16769
49.236	NA	23.8333	5117	38655	39732
49.732	NA	20.8333	4869	55312	71032
48.792	NA	17.8333	5359	34857	40124
48.608	NA	16.6667	5115	37226	35452
49.228	NA	23	4619	17942	27709
49.04	NA	52.8333	5275	45410	33213
48.124	2.342337359	29.3333	5248	32699	36562
48.768	NA	9.5	5106	19913	23092
49.06	NA	13.8333	4846	28514	23462
48.932	NA	15.5	5006	24349	18166
47.276	NA	12.8333	4971	34526	32720
48.384	NA	7.83333	5528	34718	36490
50.256	2.004299481	6.16667	4910	38273	49898
49.76	NA	14.1667	4942	41628	47978
49.292	6.056038057	14.8333	5171	43505	51685
47.9	NA	19	5346	44920	43498
48.704	NA	13.5	5068	30759	28960
49.34	NA	16.1667	5288	56802	64595
47.88	NA	19.1667	5824	32594	40030
48.56	1.654837404	8.66667	11120	13441	17260
49.664	1.572321222	10.8333	4604	34705	50648
49.064	NA	25.8333	5221	51659	66917
48.936	NA	28	5444	40657	60655
48.276	NA	15.3333	19005	15463	15678
46.832	NA	46.8333	26464	9163	9864
49.308	2.447863248	40	8550	25100	23090
49.44	1.777200316	21	5026	28017	36176
49.036	NA	15.3333	5127	27665	47419
48.528	2.921845906	22.6667	5004	43735	51655
48.156	2.249410786	40.6667	5003	44354	50691
48.968	NA	22.6667	5421	27570	36961
49.588	NA	21.5	5346	47102	47741
46.8	NA	69.3333	5483	19489	19026
48.628	1.556492411	78.6667	4882	16185	26227
48.248	2.796638655	105.333	5285	10985	16171
48.56	2.228810736	39.1667	5769	30905	41674
47.24	NA	50.5	33513	5422	7817
47.2	NA	100.833	38867	5728	7509
46.812	NA	141	37626	4837	6877
47.028	NA	53	37231	5118	6990
46.848	NA	89.8333	36220	5893	7231
46.98	4.017353579	126.333	30906	5007	6815
49.124	4.001416431	94.8333	5208	11168	11149
47.44	NA	148.167	6324	20288	26548
47.944	NA	149.5	5319	20657	25209
49.524	NA	340.667	25283	26106	34620
49.244	NA	65.5	7515	35812	50556
48.22	NA	67.3333	5688	14817	41805
49.932	NA	49.1667	5347	30678	41933
50.436	NA	76.5	5969	28168	38652
45.432	NA	144.167	44866	6262	8128
47.624	NA	112.333	42587	6311	7178
47.672	NA	102.5	46201	5583	7089
45.48	NA	140.167	44598	6107	7331
47.92	NA	176.167	40570	4887	6675
46.732	NA	105.5	43300	5033	7047
46.832	4.769784173	229.5	40340	7168	7189
46.128	NA	245	42053	4967	6828
47.38	2.665132336	182.667	40690	4864	6872
46.284	NA	499.167	44160	5191	7048
47.336	NA	48.3333	39691	4595	6740
46.44	NA	196.5	42058	5350	6724
46.768	NA	239.5	41438	4826	6978
45.956	14.75517791	355.167	45373	5270	6995
47.192	1.966666667	185.5	40320	4564	6681
46.792	NA	239.833	41965	4898	7300
46.048	3.504116223	292.833	44624	6027	7011
47.06	16.17837976	227	44905	5086	7035
46.352	NA	110.333	39541	4773	6370
45.672	19.90871369	83.6667	41746	5003	6206
46.852	4.087649402	66.3333	44130	4972	6417
40.072	11.875	42.8333	38750	4582	5906
25.12328767	NA	106.5	14982	2263	2198
26.652	NA	213	25583	4022	4320
44.872	NA	121.833	40765	7834	8710
45.692	29.45945946	88.3333	45225	5117	6487
45.848	25.98175476	91	43324	4983	6597
43.036	4.887323944	68.3333	40304	4810	6287
46.98	4.842042042	161.167	43514	5087	6866
46.52	NA	146	44791	5626	7188
47.036	NA	251.667	44498	4869	7269
45.068	1.548514851	222.5	43148	5183	6939
47.212	12.95760945	178.5	42131	8479	11449
47.156	7.689768977	66.8333	41274	4973	6717
46.836	9.240998105	171.667	39461	9628	9082
45.84	NA	57.3333	42804	5225	7001
46.212	113.978746	122.667	41434	5266	7238
44.836	2.864632984	185.167	41822	5000	6684
45.776	NA	135.167	44616	5305	7188
45.496	1.747885402	46.3333	45595	9076	10371
46.54	1.646851762	147.833	42449	5995	8054
49.036	NA	170.333	8029	28926	46289
49.688	NA	119.5	9718	27066	30989
47.148	NA	274.167	36279	5714	7786
45.964	1.64124057	365.667	42755	5553	7463
47.292	NA	164.833	38504	10045	14402
47.736	NA	181.833	36553	19342	15653
48.7	3.637747336	139.833	33130	9538	15885
47.388	NA	222.333	41420	5820	7338
45.768	NA	196.667	43170	5736	7386
49.128	NA	87.8333	39295	8248	8323
47.44	NA	119.333	42632	5688	7530
45.216	NA	192.833	39927	15910	13449
45.96	NA	78.5	45414	7012	8360
46.34	NA	118.333	42783	5903	7939
46.836	3.224016145	214.167	39741	5080	7255
47.052	2.61951539	193	39242	5450	7378
48.368	NA	87.5	15739	22094	23434
48.328	NA	62.6667	20275	18883	27643
47.78	NA	62.8333	23728	17056	19849
47.992	NA	61.8333	5937	19807	26890
48.88	NA	16.6667	4973	14643	26167
