Variants	Induction>1.5	M.RNAseq	M.H3K4me2	M.H3K4me3	M.H3K27me3	M.H3K36me3	GC content
45.1667	2.067988283	29358	42783	45963	5212	31611	48.804
32.6667	NA	28116	23523	28635	5415	29284	48.704
15.6667	NA	25398	42684	31790	4995	32506	49.536
14.6667	NA	32578	67252	68429	5246	36709	49.312
30.5	NA	11404	49929	59790	4718	34832	49.848
28.5	NA	9774	33411	33236	4908	37697	49.516
30.1667	1.685401381	27667	37307	37422	4858	34163	49.796
24.8333	NA	14026	49582	37256	4927	39216	49.668
29.8333	NA	12992	48402	54771	5243	38824	49.164
33	1.749876071	14121	45966	55650	5140	33679	49.344
34.5	NA	85781	33963	35270	5061	37902	48.896
15.5	2.372155078	12742	25753	30045	5099	39972	49.012
15	2.977909674	47849	60052	58655	5652	35612	48.792
6.33333	NA	46583	35647	54801	5527	43487	49.88
6.16667	NA	28548	42098	42837	6580	36533	49.956
41.5	NA	40647	19550	23536	26990	37448	47.884
20	NA	3171	6207	7843	39653	38710	47.052
25.6667	NA	44490	6278	8517	41582	46774	47.364
38.8333	NA	36763	23015	38779	6204	32058	48.952
59.6667	NA	20210	38997	41140	5470	38869	48.22
79.3333	NA	25634	17509	15697	5095	34388	48.188
46	NA	82880	33011	45862	5402	35305	49.572
21.6667	NA	107046	33183	35385	21861	39742	47.228
29.5	NA	13693	29235	36696	15083	36732	48.344
22.6667	NA	115785	36307	43863	4967	38111	49.868
33.3333	1.898584071	11300	34573	27970	4851	36560	48.108
29.6667	NA	19220	21145	19597	5041	30276	49.188
44.6667	NA	99783	32608	27895	5414	34146	48.708
30	NA	23708	21696	24793	12204	36844	48.252
24.6667	2.255870303	22699	49590	59470	5929	38424	49.352
52.5	3.935083105	17869	23930	38011	13024	35744	48.916
96.8333	15.99185336	491	6491	9525	31696	37149	47.552
96.6667	NA	105381	20667	27621	27375	44283	48.98
81.3333	NA	2649	5372	7628	38039	42791	47.472
105.167	NA	9022	18371	22416	21890	36821	48.72
99	NA	3091	10617	12615	35983	40928	46.716
79.1667	3.288241011	5145	14031	10368	31502	39580	47.932
184	NA	4034	5504	7754	40979	45381	46.684
138	1.945736434	1032	5278	7502	42546	48959	46.216
81.3333	NA	3917	24577	30455	27121	35038	47.832
182	1.620209059	19516	8637	14974	30650	28294	47.532
134	2.785772029	1237	6150	9809	43059	46481	46.42
177.167	NA	28099	5592	7736	37046	41741	46.664
92	4.343634597	5145	31909	28340	8592	34602	49.808
83.3333	NA	19872	25094	53582	5376	42289	49.94
201.333	2.400466563	2572	18501	24563	6001	41645	48.836
167.333	NA	239543	6440	7690	31128	45553	47.94
106.667	NA	44201	7505	9769	37596	40241	47.652
195.333	NA	20655	13292	15712	33422	41369	48.024
284	NA	8595	6364	8618	40452	42349	47.244
129.667	NA	44501	5379	6982	38296	41188	48.252
151.667	3.921450151	662	5117	7047	41662	47074	46.696
110	NA	4008	5682	7138	37448	44010	47.584
133.667	124.75	24	4374	6664	11508	48765	50.22
152.5	NA	14857	8926	22703	25692	41008	49.176
101.833	NA	1938	5792	7840	29799	44896	47.76
205.667	10.86906475	2780	4855	6897	37714	39803	46.936
458.5	2.095430108	1488	4576	7039	39158	52217	48.76
